,da_number,cwa_determination,slopegradd,slopegradw,brockdepmi,wtdepannmi,wtdepaprju,flodfreqdc,flodfreqma,pondfreqpr,aws025wta,aws050wta,aws0100wta,aws0150wta,drclassdcd,drclasswet,hydgrpdcd,iccdcd,iccdcdpct,niccdcd,niccdcdpct,engdwobdcd,engdwbdcd,engdwbll,engdwbml,engstafdcd,engstafll,engstafml,engsldcd,engsldcp,englrsdcd,engcmssdcd,engcmssmp,urbrecptdc,urbrecptwt,forpehrtdc,hydclprs,awmmfpwwta
0,LRB-1983-10120,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,80.0,7.4,14.33,28.21,38.93,1.0,1.0,4.0,,100.0,8.0,80.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,1.0
1,LRB-1985-69031,1,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,100.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,LRB-1986-99614,1,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,100.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,LRB-1990-97632,1,2.0,2.0,0.0,54.0,54.0,0.0,0.0,0.0,2.25,3.75,7.74,15.24,4.0,4.0,6.0,,100.0,2.0,75.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0,2.0,0.604,1.0,5.0,1.0
4,LRB-1991-98611,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,5.2,9.17,16.53,23.91,2.0,2.0,6.0,,100.0,4.0,89.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999,1.0,93.0,1.0
5,LRB-1991-99478,1,12.0,12.2,0.0,43.0,43.0,0.0,0.0,0.0,4.63,8.78,9.58,10.04,4.0,4.0,3.0,,100.0,3.0,93.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,0.634,2.0,0.0,1.0
6,LRB-1994-87212,1,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,100.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,LRB-1997-9760150,0,2.0,2.0,0.0,15.0,15.0,0.0,0.0,0.0,4.55,8.3,15.8,23.3,2.0,2.0,3.0,,100.0,4.0,75.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,95.0,1.0
8,LRB-1997-9760182,0,2.0,2.0,0.0,20.0,20.0,0.0,0.0,0.0,5.03,8.73,16.02,23.28,3.0,3.0,3.0,,100.0,3.0,90.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.95,1.0,5.0,1.0
9,LRB-1999-01528,1,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,100.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,LRB-1999-01857,1,1.0,1.0,0.0,153.0,0.0,3.0,3.0,0.0,5.25,9.5,17.67,24.67,5.0,3.0,1.0,,100.0,2.0,100.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,0.064,1.0,0.0,0.6
11,LRB-1999-02061,0,3.0,3.0,0.0,0.0,0.0,,,0.0,1.5,3.0,6.0,9.0,6.0,6.0,,,100.0,8.0,70.0,3.0,3.0,3.0,0.0,1.0,0.0,1.0,1.0,1.0,3.0,2.0,0.0,1.0,1.0,0.0,10.0,0.0
12,LRB-2000-00809,1,9.0,9.0,0.0,61.0,61.0,0.0,0.0,0.0,4.4,7.9,14.9,21.9,4.0,4.0,3.0,,100.0,4.0,85.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0,0.0,1.0
13,LRB-2000-01534,0,1.0,1.0,0.0,28.0,28.0,0.0,0.0,0.0,4.25,7.62,14.51,21.51,3.0,3.0,6.0,,100.0,3.0,75.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,4.0,1.0
14,LRB-2001-02048,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,95.0,4.66,7.47,13.01,19.38,1.0,1.0,6.0,,100.0,3.0,90.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,95.0,1.0
15,LRB-2004-00299,0,1.0,1.2,0.0,22.0,22.0,0.0,0.0,10.0,5.24,9.92,12.29,13.29,3.0,3.0,3.0,,100.0,3.0,95.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.993,1.0,10.0,1.0
16,LRB-2004-01011,0,1.0,1.0,0.0,15.0,15.0,0.0,0.0,0.0,4.67,8.42,15.92,23.03,2.0,2.0,6.0,,100.0,3.0,95.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,1.0
17,LRB-2004-01269,1,4.0,3.9,0.0,20.0,20.0,0.0,0.0,5.0,5.51,8.87,13.51,16.61,3.0,3.0,3.0,,100.0,3.0,95.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,1.0
18,LRB-2004-01276,0,2.0,2.0,0.0,31.0,31.0,0.0,0.0,0.0,4.63,7.88,14.38,20.88,3.0,3.0,6.0,,100.0,3.0,75.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,0.998,1.0,5.0,1.0
19,LRB-2004-02278,0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,100.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,LRB-2004-02452,1,1.0,1.0,0.0,0.0,0.0,4.0,4.0,5.0,2.52,4.72,8.77,12.49,1.0,1.0,0.0,,100.0,5.0,90.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.73,1.0,45.0,1.0
21,LRB-2005-00781,1,0.0,0.1,0.0,0.0,0.0,4.0,4.0,95.0,2.87,5.87,11.75,17.26,1.0,1.0,3.0,,100.0,4.0,95.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,1.0
22,LRB-2005-02179,1,1.0,1.0,77.0,15.0,15.0,0.0,0.0,0.0,3.95,6.7,9.01,9.01,2.0,2.0,3.0,,100.0,4.0,90.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,95.0,1.0
23,LRB-2006-00574,1,4.0,3.9,0.0,20.0,20.0,0.0,0.0,5.0,5.51,8.87,13.51,16.61,3.0,3.0,3.0,,100.0,3.0,95.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,1.0
24,LRB-2006-00755,0,1.0,1.2,0.0,20.0,20.0,0.0,0.0,10.0,5.48,8.8,13.51,16.78,3.0,3.0,3.0,,100.0,3.0,95.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0
25,LRB-2006-02278,1,5.0,5.0,0.0,76.0,76.0,0.0,0.0,0.0,4.87,8.67,15.84,23.32,4.0,4.0,3.0,,100.0,2.0,93.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.065,2.0,0.0,1.0
26,LRB-2007-01594,1,2.0,2.0,0.0,31.0,31.0,0.0,0.0,0.0,2.48,4.73,9.23,13.19,3.0,3.0,4.0,,100.0,3.0,80.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0,1.0,13.0,1.0
27,LRB-2008-00278,0,2.0,2.0,0.0,47.0,47.0,0.0,0.0,0.0,5.51,10.46,19.88,28.71,4.0,4.0,6.0,,100.0,2.0,90.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.411,1.0,0.0,1.0
28,LRB-2008-00768,1,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7,7.48,11.42,14.18,5.0,5.0,1.0,,100.0,4.0,100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,0.18,3.0,0.0,1.0
29,LRB-2008-00809,0,4.0,3.9,0.0,20.0,20.0,0.0,0.0,5.0,5.51,8.87,13.51,16.61,3.0,3.0,3.0,,100.0,3.0,95.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,1.0
30,LRB-2008-00987,0,2.0,2.0,0.0,20.0,20.0,0.0,0.0,0.0,4.39,7.94,14.7,21.1,3.0,3.0,5.0,,100.0,3.0,91.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.959,1.0,4.0,1.0
31,LRB-2009-00630,0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.29,7.04,14.54,22.04,5.0,5.0,1.0,,100.0,1.0,80.0,3.0,3.0,3.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,2.0,0.007,1.0,0.0,0.019
32,LRB-2009-01161,0,1.0,1.0,0.0,137.0,137.0,3.0,3.0,0.0,5.0,9.6,18.6,27.6,5.0,5.0,1.0,,100.0,1.0,75.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,0.013,1.0,0.0,0.6
33,LRB-2009-01524,0,21.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.55,9.71,11.75,5.0,5.0,0.0,,100.0,6.0,90.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,0.68,3.0,0.0,1.0
34,LRB-2010-00927,0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,100.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,LRB-2010-01504,0,0.5,0.6,0.0,15.0,15.0,0.0,0.0,93.0,5.39,9.2,17.42,25.39,1.0,1.0,6.0,,100.0,3.0,93.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,93.0,1.0
36,LRB-2010-01519,1,1.0,1.0,0.0,54.0,54.0,0.0,0.0,0.0,4.48,8.87,17.39,25.39,4.0,4.0,6.0,,100.0,2.0,80.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,0.08,1.0,0.0,1.0
37,LRB-2010-01556,1,6.0,6.0,0.0,54.0,54.0,0.0,0.0,0.0,2.95,5.45,10.45,14.46,4.0,4.0,4.0,,100.0,2.0,75.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,0.08,2.0,5.0,1.0
38,LRB-2010-01656,1,2.0,2.0,0.0,20.0,20.0,0.0,0.0,0.0,5.03,8.73,16.02,23.28,3.0,3.0,3.0,,100.0,3.0,90.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.95,1.0,5.0,1.0
39,LRB-2010-01696,1,3.5,3.5,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,100.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,LRB-2011-00230,0,2.0,2.0,0.0,20.0,20.0,0.0,0.0,0.0,4.39,7.94,14.7,21.1,3.0,3.0,5.0,,100.0,3.0,91.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.959,1.0,4.0,1.0
41,LRB-2011-00919,1,48.0,48.0,77.0,0.0,0.0,0.0,0.0,0.0,3.32,6.25,7.91,7.91,5.0,5.0,0.0,,100.0,7.0,80.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,3.0,0.0,1.0
42,LRB-2012-00081,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,100.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,LRB-2012-00241,1,5.0,5.0,0.0,20.0,20.0,0.0,0.0,0.0,3.84,7.34,14.01,20.33,3.0,3.0,5.0,,100.0,3.0,91.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.95,2.0,4.0,1.0
44,LRB-2012-00668,1,1.0,1.0,0.0,31.0,31.0,0.0,0.0,0.0,3.75,7.25,13.77,16.77,3.0,3.0,5.0,,100.0,2.0,95.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0,2.0,0.998,1.0,0.0,1.0
45,LRB-2012-00837,0,4.0,3.9,0.0,20.0,20.0,0.0,0.0,5.0,5.51,8.87,13.51,16.61,3.0,3.0,3.0,,100.0,3.0,95.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,1.0
46,LRB-2012-00897,0,4.0,3.9,0.0,30.0,30.0,0.0,0.0,5.0,5.2,8.67,13.05,16.53,4.0,4.0,3.0,,100.0,3.0,95.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,1.0
47,LRB-2012-00990,0,0.0,2.0,0.0,54.0,54.0,,0.0,0.0,2.9,4.65,7.77,10.27,,4.0,,,98.0,,100.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.964,0.0,0.0,1.0
48,LRB-2012-01239,0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,3.04,5.54,9.42,10.16,5.0,5.0,0.0,,100.0,3.0,80.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0,2.0,0.013,2.0,0.0,1.0
49,LRB-2012-01399,0,1.0,1.0,0.0,15.0,15.0,0.0,0.0,85.0,3.9,6.9,12.9,18.54,2.0,2.0,6.0,,100.0,3.0,100.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,85.0,1.0
50,LRB-2012-01483,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,80.0,4.65,8.4,15.9,23.4,1.0,1.0,6.0,,100.0,5.0,80.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,96.0,1.0
51,LRB-2013-00206,1,9.0,8.5,0.0,30.0,30.0,0.0,0.0,0.0,5.19,8.69,13.08,16.53,4.0,4.0,3.0,,100.0,4.0,90.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0,1.0
52,LRB-2013-00260,0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.86,6.11,10.39,13.5,5.0,5.0,1.0,,100.0,2.0,100.0,3.0,3.0,3.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0,2.0,0.04,2.0,0.0,1.0
53,LRB-2013-00313,1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,93.0,3.37,6.44,12.43,18.06,1.0,1.0,3.0,,100.0,3.0,96.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,93.0,1.0
54,LRB-2013-00494,1,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,100.0,8.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,LRB-2013-00762,1,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,100.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,LRB-2013-00791,1,1.0,1.0,0.0,23.0,23.0,0.0,0.0,0.0,4.67,8.42,15.29,21.29,3.0,3.0,6.0,,100.0,3.0,70.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,8.0,1.0
57,LRB-2013-00821,1,2.0,2.0,0.0,23.0,23.0,0.0,0.0,0.0,4.5,8.15,14.23,19.23,3.0,3.0,6.0,,100.0,3.0,75.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,5.0,1.0
58,LRB-2013-01010,1,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,100.0,6.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,LRB-2013-01216,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,100.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,LRB-2013-01325,0,12.0,12.1,0.0,43.0,43.0,0.0,0.0,0.0,4.44,8.57,9.47,9.96,4.0,4.0,3.0,,100.0,3.0,94.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,0.646,1.0,0.0,1.0
61,LRB-2014-00066,1,12.0,12.0,77.0,0.0,0.0,0.0,0.0,0.0,4.3,8.3,9.89,9.89,5.0,5.0,2.0,,100.0,,100.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,2.0,0.048,3.0,0.0,0.798
62,LRB-2014-00921,0,2.0,2.0,76.0,31.0,31.0,0.0,0.0,0.0,4.67,8.86,12.96,12.96,3.0,3.0,3.0,,100.0,3.0,80.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,0.998,1.0,8.0,1.0
63,LRB-2014-00940,1,2.0,2.0,0.0,20.0,20.0,0.0,0.0,0.0,4.84,8.52,15.75,22.89,3.0,3.0,3.0,,100.0,3.0,90.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.95,1.0,5.0,1.0
64,LRB-2014-00966,1,1.0,1.1,0.0,0.0,0.0,4.0,4.0,30.0,5.99,11.38,21.78,31.46,2.0,1.0,5.0,,100.0,5.0,90.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,90.0,1.0
65,LRB-2014-01033,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,5.2,9.17,16.53,23.91,2.0,2.0,6.0,,100.0,4.0,89.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999,1.0,93.0,1.0
66,LRB-2014-01078,1,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.75,7.25,14.25,20.11,5.0,5.0,1.0,,100.0,1.0,80.0,3.0,3.0,3.0,0.0,1.0,0.0,1.0,2.0,2.0,2.0,2.0,0.0,2.0,0.004,1.0,0.0,0.5
67,LRB-2014-01116,0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.72,7.49,11.34,13.97,5.0,5.0,1.0,,100.0,1.0,95.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,0.025,1.0,0.0,0.973
68,LRB-2014-01137,1,1.0,1.0,0.0,31.0,31.0,0.0,0.0,0.0,5.0,9.5,17.78,25.78,3.0,3.0,6.0,,100.0,3.0,75.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,0.998,1.0,4.0,1.0
69,LRB-2014-01198,0,4.0,3.9,0.0,30.0,30.0,0.0,0.0,5.0,5.2,8.67,13.05,16.53,4.0,4.0,3.0,,100.0,3.0,95.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,1.0
70,LRB-2014-01300,1,5.0,5.0,0.0,54.0,54.0,0.0,0.0,0.0,2.25,3.75,7.74,15.24,4.0,4.0,6.0,,100.0,2.0,75.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0,2.0,0.604,2.0,5.0,1.0
71,LRB-2014-01350,1,1.0,1.0,0.0,31.0,31.0,0.0,0.0,0.0,4.71,8.96,16.74,23.74,3.0,3.0,6.0,,100.0,2.0,90.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,0.998,1.0,5.0,1.0
72,LRB-2014-01383,1,1.0,1.0,0.0,15.0,15.0,0.0,0.0,55.0,5.5,10.6,20.6,29.52,1.0,1.0,5.0,,100.0,,100.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,55.0,1.0
73,LRB-2015-00037,0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.73,7.23,14.23,19.94,5.0,5.0,1.0,,100.0,2.0,80.0,3.0,3.0,3.0,0.0,1.0,0.0,1.0,2.0,2.0,2.0,2.0,0.0,3.0,0.0,2.0,0.0,0.5
74,LRB-2015-00348,1,4.0,4.1,0.0,17.0,17.0,0.0,0.0,5.0,5.46,10.0,11.58,12.94,3.0,3.0,3.0,,100.0,3.0,95.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,1.0
75,LRB-2015-00439,1,2.0,2.4,0.0,0.0,0.0,4.0,4.0,55.0,2.63,5.13,10.13,15.13,2.0,2.0,4.0,,100.0,5.0,85.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.788,1.0,60.0,1.0
76,LRB-2015-00446,1,2.0,2.0,0.0,20.0,20.0,0.0,0.0,0.0,5.03,8.73,16.02,23.28,3.0,3.0,3.0,,100.0,3.0,90.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.95,1.0,5.0,1.0
77,LRB-2015-00455,1,1.0,1.3,0.0,20.0,20.0,0.0,0.0,0.0,3.0,6.0,11.68,16.68,2.0,2.0,6.0,,100.0,3.0,70.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,66.0,1.0
78,LRB-2015-00476,1,1.0,1.9,0.0,0.0,0.0,4.0,4.0,40.0,2.59,5.09,10.09,15.09,2.0,2.0,4.0,,100.0,5.0,75.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.72,1.0,55.0,1.0
79,LRB-2015-00485,0,0.5,0.5,0.0,15.0,15.0,0.0,0.0,91.0,5.25,9.16,16.25,21.17,1.0,1.0,6.0,,100.0,2.0,94.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,91.0,1.0
80,LRB-2015-00515,1,2.0,2.0,0.0,31.0,31.0,0.0,0.0,0.0,2.19,3.69,10.2,17.7,3.0,3.0,6.0,,100.0,3.0,75.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,2.0,0.998,1.0,10.0,1.0
81,LRB-2015-00588,1,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.95,5.7,8.88,10.38,5.0,5.0,0.0,,100.0,2.0,80.0,3.0,3.0,3.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0,2.0,0.018,1.0,0.0,1.0
82,LRB-2015-00609,1,5.0,5.0,0.0,137.0,137.0,2.0,2.0,0.0,4.05,7.8,15.3,22.8,4.0,4.0,1.0,,100.0,2.0,80.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,2.0,0.025,2.0,0.0,0.019
83,LRB-2015-00637,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,100.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,LRB-2015-00671,1,2.0,2.0,0.0,38.0,38.0,0.0,0.0,0.0,4.25,7.5,14.49,21.49,3.0,3.0,6.0,,100.0,3.0,75.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,0.858,1.0,5.0,1.0
85,LRB-2015-00678,1,2.0,1.2,0.0,0.0,0.0,4.0,4.0,0.0,2.65,5.15,10.08,14.49,4.0,2.0,2.0,,100.0,5.0,85.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,0.647,1.0,41.0,1.0
86,LRB-2015-00703,1,2.0,2.0,0.0,31.0,31.0,0.0,0.0,0.0,5.0,9.56,17.94,25.94,3.0,3.0,6.0,,100.0,3.0,75.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,0.998,1.0,5.0,1.0
87,LRB-2015-00714,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,5.43,9.45,17.6,26.36,2.0,2.0,3.0,,100.0,4.0,91.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.993,1.0,95.0,1.0
88,LRB-2015-00728,1,4.0,4.1,0.0,17.0,17.0,0.0,0.0,5.0,5.08,9.18,12.9,16.45,3.0,3.0,3.0,,100.0,3.0,95.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,1.0
89,LRB-2015-00750,1,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,100.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
